Unique Titles,Total Hours
Mortal Kombat Kollection,1
MURDERED SOUL SUSPECT,1
Need for Speed Undercover,1
Never Alone (Kisima Ingitchuna),1
Never Alone Original Soundtrack,1
Neverending Nightmares,1
Nosgoth,18.8
One Way Heroics,1
Ori and the Blind Forest (Original Soundtrack),1
Outland,1
"Papers, Please",1
PAYDAY 2,1
PAYDAY The Heist,1
Penny Arcade's On the Rain-Slick Precipice of Darkness 3,1
Pixel Heroes Byte & Magic,1
Pixel Piracy,1
Polarity,1
POSTAL 2,1
Project Temporality,1
RAGE,1
Rebuild Gangs of Deadsville - Deluxe DLC,1
Red Faction Armageddon,1
Red Faction Guerrilla Steam Edition,1
Remember Me,1
Remnants Of Isolation,1
resident evil 4 / biohazard 4,1
Resident Evil 5 / Biohazard 5,1
Resident Evil Revelations / Biohazard Revelations,1
Rochard,1
RollerCoaster Tycoon 3 Platinum!,1
RPG Maker Luna Engine,1
RPG Maker VX Ace,1
Saints Row Gat out of Hell,1
Screencheat,1
Scribblenauts Unlimited,1
Shadowgrounds Survivor,1
Shadowrun Dragonfall - Director's Cut,1
Shadowrun Returns,1
Shadow Warrior,1
Shank,1
Shantae Risky's Revenge - Director's Cut,1
Sins of a Solar Empire Rebellion,1
Sins of a Solar Empire Rebellion Soundtrack,1
Skulls of the Shogun,1
Sonic Adventure 2 Battle Mode DLC,1
Sonic CD,1
Space Engineers,1
Spiral Knights,1
Sprite Lamp,1
Spriter Pro,1
Star Wars - Battlefront II,1
Star Wars - Jedi Knight Mysteries of the Sith,1
Star Wars - Jedi Knight II Jedi Outcast,1
Star Wars Dark Forces,1
Star Wars Empire at War Gold,1
Star Wars Knights of the Old Republic,1
Star Wars The Force Unleashed II,1
Star Wars The Force Unleashed Ultimate Sith Edition,1
Star Wars Jedi Knight Dark Forces II,1
Star Wars Jedi Knight Jedi Academy,1
Star Wars Republic Commando,1
Star Wars Starfighter,1
Star Wars The Clone Wars Republic Heroes,1
State of Decay,1
Survivalist,1
Syberia,1
Syberia 2,1
Terraria,1
The Beginner's Guide,1
The Binding of Isaac Rebirth,1
